next	next	下一個	下一个	次	Nächster	Il prossimo	다음 것
family	family	家庭	家庭	家族	Familie	famiglia	가족
edit	edit	編輯	编辑	編集	bearbeiten	Modifica	편집하다
cancel	cancel	取消	取消	キャンセル	stornieren	Annulla	취소하다
delete	delete	刪除	删除	削除します	löschen	cancellare	지우다
File	File	文件	文件	ファイル	Datei	File	파일
document	document	文件	文件	資料	Dokument	documento	문서
Glucose	Glucose	葡萄糖	葡萄糖	グルコース	Glucose	Glucosio	포도당
Lunch	Lunch	午餐	午餐	ランチ	Mittagessen	Pranzo	점심
Dinner	Dinner	晚餐	晚餐	ディナー	Abendessen	Cena	공식 만찬
Blood Glucose	Blood Glucose	血糖	血糖	血糖	Blutzucker	Glucosio nel sangue	혈당
Protein	Protein	蛋白	蛋白	タンパク質	Eiweiß	Proteina	단백질
Beef	Beef	牛肉	牛肉	牛肉	Rindfleisch	Manzo	소고기
computer	computer	電腦	电脑	パソコン	Computer	Computer	컴퓨터
eye glasses	eye glasses	眼鏡	眼镜	眼鏡	Augengläser	occhiali	안경
Yes	Yes	是	是	はい	ja	sì	예
No	No	否	否	いいえ	Nein	No	아니
failed	failed	失敗	失败	失敗しました	gescheitert	fallito	실패한
Done	Done	完成	做	終わりました	Erledigt	Fatto	끝난
